t_ms,magnitude,coherence,score,fraction,peak_2s,gesture
1787849689291,0.0355,0.0000,0.0000,0.0000,0.3764,default
1787849689357,0.0420,0.0000,0.0000,0.0000,0.3764,default
1787849689423,0.0396,0.0000,0.0000,0.0000,0.3764,default
1787849689491,0.0461,0.0000,0.0000,0.0000,0.3764,default
1787849689557,0.0622,0.0000,0.0000,0.0000,0.3764,default
1787849689625,0.0655,0.0000,0.0000,0.0000,0.3764,default
1787849689691,0.0639,0.0000,0.0000,0.0000,0.3764,default
1787849689758,0.0860,0.0000,0.0000,0.0000,0.3764,default
1787849689825,0.1116,0.0000,0.0000,0.0000,0.3764,default
1787849689891,0.1562,0.0000,0.0000,0.0000,0.3764,default
1787849689958,0.1618,0.0000,0.0000,0.0000,0.3764,default
1787849690025,0.1644,0.0000,0.0000,0.0000,0.3764,default
1787849690091,0.1358,0.0000,0.0000,0.0000,0.3764,default
1787849690157,0.0942,0.0000,0.0000,0.0000,0.3764,default
1787849690224,0.0631,0.0000,0.0000,0.0000,0.3764,default
1787849690292,0.1199,0.0000,0.0000,0.0000,0.0000,default
1787849690356,0.1498,0.0000,0.0000,0.0000,0.0000,default
1787849690426,0.1820,0.0000,0.0000,0.0000,0.0000,default
1787849690489,0.1922,0.0000,0.0000,0.0000,0.0000,default
1787849690558,0.1661,0.0000,0.0000,0.0000,0.0000,default
1787849690624,0.1209,0.0000,0.0000,0.0000,0.0000,default
1787849690691,0.0904,0.0000,0.0000,0.0000,0.0000,default
1787849690757,0.0777,0.0000,0.0000,0.0000,0.0000,default
1787849690825,0.0470,0.0000,0.0000,0.0000,0.0000,default
1787849690891,0.0442,0.0000,0.0000,0.0000,0.0000,default
1787849690957,0.0574,0.0000,0.0000,0.0000,0.0000,default
1787849691024,0.0497,0.0000,0.0000,0.0000,0.0000,default
1787849691091,0.0403,0.0000,0.0000,0.0000,0.0000,default
1787849691157,0.0364,0.0000,0.0000,0.0000,0.0000,default
1787849691224,0.0664,0.0000,0.0000,0.0000,0.0000,default
1787849691291,0.0624,0.0000,0.0000,0.0000,0.0000,default
1787849691358,0.0470,0.0000,0.0000,0.0000,0.0000,default
1787849691423,0.0413,0.0000,0.0000,0.0000,0.0000,default
1787849691491,0.0440,0.0000,0.0000,0.0000,0.0000,default
1787849691558,0.0733,0.0000,0.0000,0.0000,0.0000,default
1787849691621,0.0896,0.0000,0.0000,0.0000,0.0000,default
1787849691689,0.1171,0.0000,0.0000,0.0000,0.0000,default
1787849691756,0.1075,0.0000,0.0000,0.0000,0.0000,default
1787849691824,0.0659,0.0000,0.0000,0.0000,0.0000,default
1787849691889,0.0432,0.0000,0.0000,0.0000,0.0000,default
1787849691957,0.0393,0.0000,0.0000,0.0000,0.0000,default
1787849692025,0.0402,0.0000,0.0000,0.0000,0.0000,default
1787849692091,0.0337,0.0000,0.0000,0.0000,0.0000,default
1787849692158,0.0451,0.0000,0.0000,0.0000,0.0000,default
1787849692224,0.0544,0.0000,0.0000,0.0000,0.0000,default
